,Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year,ConversionRate
0,Cr/Al2O3,Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'propane conversion': 'N/A'},"0.048 (h-1), 0.038 h-1 (Cr/Al2O3-fresh), 0.018 h-1 (Cr/Al2O3-500), 0.006 h-1 (Cr/Al2O3-600), 0.001 h-1 (Cr/Al2O3-700), 0.001 h-1 (Cr/Al2O3-800), 0.55 h-1 (fresh), 0.10 h-1 (700°C H2 pretreatment), 0.045 h-1 (fresh catalyst), 0.009 h-1 (700°C H2 pretreated), 0.013 h-1",N2/C3H8 = 19:1,853.15,20.0,6000 mL/h/g,PDH,"N2, C3H8",False,"{'Stability': 'Preparation Method', 'Selectivity': 'Structural Composition'}",,,,,,,,,,,,,,,10.1016/j.mcat.2020.111052,2020.0,
1,Ru single atom anchored at N vacancy on hexagonal boron nitride (h-BN),Single Atom,Ru,Ru,Boron-based,{'Propane conversion': 'N/A'},,,,,,PDH,Propane,False,"{'Stability': 'Structural composition', 'Activity': 'Structural composition'}",,,,,,,,,,,,,,,10.1002/cctc.202200465,2022.0,
2,Rh(111),Metal,Rh,Rh,,{'propane conversion': 'N/A'},Fast deep-dehydrogenation in early stage,1:1 propane:hydrogen,873.0,,,PDH,"Propane, Hydrogen",False,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",47.0,,,,,,,,,,,,,,10.1016/j.cattod.2022.06.034,2023.0,
3,Low-silica proton-form FAU zeolites,Others,"Si, Al, O, H, Na",H,Zeolites,{'Propane conversion': '<1%'},,H2/C3H8/Ar/He = 3/3/1.5/60,818893.0,67.5,3600 cm3C3H8·gcat-1·h-1,PDH,"H2, C3H8, Ar, He",False,"{'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",,,,,,,,,,,,,,,10.1021/jacs.2c01022,2022.0,1.0
4,Pt–In/Mg(Pt)(In)(Al)Ox,Alloy,"Pt, In, Mg, Al, O","Pt, In",Others,{'propane conversion': 'N/A'},,,873.15,,,PDH,propane,False,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",,Nanoparticulate Alloys,In Situ Synthesis,In,,,,,,,,,,,10.1039/c5cy01274k,2016.0,
5,Ce0.9W0.1Ox solid oxygen carrier,Metal Oxide,"Ce, W, O","Ce, W",,{'propane conversion': 'N/A'},,,,,,ODH,"propane, nitrogen, oxygen",True,"{'Conversion': 'Process Conditions', 'Selectivity': 'Process Conditions'}",,,,,,,,,,,,,,,10.1021/op050020r,2005.0,
6,Platinum,Metal,Pt,Pt,,{'propane conversion': '78.3%'},,,923.15,100.0,,PDH,C3H8,False,{'Selectivity': 'Reaction Temperature'},85.0,,,,,,,,,,,,,,10.1021/jp710141c,2008.0,78.3
7,Pt-Sn/Mg(Al)O,Alloy,"Pt, Sn",Pt,Others,{'Propane conversion': '90-95%'},1.67x10^-5 s^-1,,833.15,,8 h^-1,PDH,"C3H8, H2O",False,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",95.0,Nanoparticulate Alloys,Impregnation Methods,Sn,8 h,0.125,300.0,,,,,,,,10.1016/j.apcata.2016.02.009,2016.0,95.0
8,Pt-Sn/SAPO-34,Alloy,"Pt, Sn",Pt,Others,{'propane conversion': '34.8%'},2.4% at 600C steaming,H2/C3H8 = 0.25,858.15,,,PDH,"H2, C3H8",False,"{'Stability': 'Support Material', 'Conversion': 'Support Material', 'Selectivity': 'Support Material'}",67.2,Nanoparticulate Alloys,Impregnation Methods,Sn,60% drop after 8h,0.025,,67.2,,,,,,,10.1016/j.jiec.2010.07.002,2010.0,34.8
9,13 wt% Cr/Al2O3,Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'propane conversion': '56%'},,,823.15,22.0,,PDH,"propane, helium",False,"{'Conversion': 'amount and type of coke deposits', 'Selectivity': 'Structural Composition', 'Stability': 'amount and type of coke deposits'}",87.0,,,,,,,,,,,,,,10.1039/b414427a,2005.0,56.0
10,Co/H-ZSM5,Metal,Co,Co,Zeolites,{'Propane conversion': '11%'},,20% C3H8/He,773.0,,,PDH,"C3H8, He",False,"{'Conversion': 'Active species', 'Selectivity': 'Active species'}",18.8,,,,,,,41.6,,,,,,,10.1021/jp002102h,2001.0,11.0
11,PtSn/Al2O3,Alloy,"Pt, Sn","Pt, Sn",Aluminum Oxide,{'N/A': 'N/A'},,,,,,PDH,Propane,False,{'Stability': 'Separating deactivation from main reaction kinetics'},,,,,,,,,,,,,,,10.1016/S0926-860X(97)00233-0,1998.0,
