Name,Type,CompositionElements,ActiveSpeciesElements,SupportMaterial,ConversionTypes,DeactivationRates,FeedCompositionAndRatios,ReactionTemperature,InletFlowRate,CatalystLoadingOrGHSV,TypeIdentify,FeedGasComposition,ContainsOxidizingAgent,Enhancement,Selectivity,StructureType,PreparationMethod,PromoterElements,StabilityOriginal,ConvertedStability,PropanePartialPressure,PropyleneYield,PropaneProductionRate,PropaneConversion,ThermalConductivity,PropeneYield,PropeneProductionRate,TurnoverFrequency,DOI,Year
Cr/Al2O3,Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'propane conversion': 'N/A'},"0.048 (h-1), 0.038 h-1 (Cr/Al2O3-fresh), 0.018 h-1 (Cr/Al2O3-500), 0.006 h-1 (Cr/Al2O3-600), 0.001 h-1 (Cr/Al2O3-700), 0.001 h-1 (Cr/Al2O3-800), 0.55 h-1 (fresh), 0.10 h-1 (700°C H2 pretreatment), 0.045 h-1 (fresh catalyst), 0.009 h-1 (700°C H2 pretreated), 0.013 h-1",N2/C3H8 = 19:1,580 ℃,20 ml/min,6000 mL/h/g,PDH,"N2, C3H8",No,"{'Stability': 'Preparation Method', 'Selectivity': 'Structural Composition'}",,,,,,,,,,,,,,,10.1016/j.mcat.2020.111052,2020.0
Ru single atom anchored at N vacancy on hexagonal boron nitride (h-BN),Single Atom,Ru,Ru,Hexagonal boron nitride (h-BN),{'Propane conversion': 'N/A'},,,,,,PDH,Propane,No,"{'Stability': 'Structural composition', 'Activity': 'Structural composition'}",,,,,,,,,,,,,,,10.1002/cctc.202200465,2022.0
Rh(111),Metal,Rh,Rh,,{'propane conversion': 'N/A'},Fast deep-dehydrogenation in early stage,1:1 propane:hydrogen,873 K,,,PDH,"Propane, Hydrogen",No,"{'Selectivity': 'Structural composition', 'Stability': 'Structural composition'}",47%,,,,,,,,,,,,,,10.1016/j.cattod.2022.06.034,2023.0
Low-silica proton-form FAU zeolites,Zeolite,"Si, Al, O, H, Na",H,Zeolite,{'Propane conversion': '<1%'},,H2/C3H8/Ar/He = 3/3/1.5/60,818-893 K,67.5 sccm,3600 cm3C3H8·gcat-1·h-1,PDH,"H2, C3H8, Ar, He",No,"{'Conversion': 'Structural composition', 'Stability': 'Structural composition'}",,,,,,,,,,,,,,,10.1021/jacs.2c01022,2022.0
Pt–In/Mg(Pt)(In)(Al)Ox,Alloy,"Pt, In, Mg, Al, O","Pt, In",Mg(Pt)(In)(Al)Ox,{'propane conversion': 'N/A'},,,600°C,,,PDH,propane,No,"{'Conversion': 'Structural Composition', 'Stability': 'Structural Composition'}",,Nanoparticulate Alloys,In Situ Synthesis,In,,,,,,,,,,,10.1039/c5cy01274k,2016.0
Ce0.9W0.1Ox solid oxygen carrier,Metal Oxide,"Ce, W, O","Ce, W",,{'propane conversion': 'N/A'},,,,,,ODH,"propane, nitrogen, oxygen",Yes,"{'Conversion': 'Process Conditions', 'Selectivity': 'Process Conditions'}",,,,,,,,,,,,,,,10.1021/op050020r,2005.0
Platinum,Metal,Pt,Pt,,{'propane conversion': '78.3%'},,,650°C,100 mL/min,,PDH,C3H8,No,{'Selectivity': 'Reaction Temperature'},85%,,,,,,,,,,,,,,10.1021/jp710141c,2008.0
Pt-Sn/Mg(Al)O,Alloy,"Pt, Sn",Pt,Mg(Al)O,{'Propane conversion': '90-95%'},1.67x10^-5 s^-1,,520-600 ℃,0.6 NL/min,8 h^-1,PDH,"C3H8, H2O",No,"{'Selectivity': 'Structural Composition', 'Stability': 'Structural Composition'}",92-95%,Nanoparticulate Alloys,Impregnation Methods,Sn,8 h,0.125 h^-1,3 bar,,,,,,,,10.1016/j.apcata.2016.02.009,2016.0
Pt-Sn/SAPO-34,Alloy,"Pt, Sn",Pt,SAPO-34,{'propane conversion': '34.8%'},2.4% at 600C steaming,H2/C3H8 = 0.25,585℃,WHSV 5.6 h^-1,,PDH,"H2, C3H8",No,"{'Stability': 'Support Material', 'Conversion': 'Support Material', 'Selectivity': 'Support Material'}",67.2%,Nanoparticulate Alloys,Impregnation Methods,Sn,60% drop after 8h,0.025 h^-1,,67.2%,,,,,,,10.1016/j.jiec.2010.07.002,2010.0
13 wt% Cr/Al2O3,Metal Oxide,"Cr, Al",Cr,Aluminum Oxide,{'propane conversion': '56%'},,,550℃,22 ml/min,,PDH,"propane, helium",No,"{'Conversion': 'amount and type of coke deposits', 'Selectivity': 'Structural Composition', 'Stability': 'amount and type of coke deposits'}",87%,,,,,,,,,,,,,,10.1039/b414427a,2005.0
